NDB_No,FdGrp_Cd,Long_Desc
1056,100,"Cream, sour, cultured"
1077,100,"Milk, whole, 3.25% milkfat"
1079,100,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A"
1116,100,"Yogurt, plain, whole milk, 8 grams protein per 8 ounce"
1123,100,"Egg, whole, raw, fresh"
1124,100,"Egg, white, raw, fresh"
1125,100,"Egg, yolk, raw, fresh"
2019,200,"Spices, fenugreek seed"
2046,200,"Mustard, prepared, yellow"
3841,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, ready-to-feed"
3843,300,"Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, powder, not reconstituted"
3890,300,"Infant formula, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, Soy, ready-to-feed, (formerly WYETH-AYERST)"
3891,300,"Infant formula, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, soy, liquid concentrate, (formerly WYETH-AYERST)"
3893,300,"Infant formula, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, Soy, powder, (formerly WYETH-AYERST)"
3931,300,"Infant formula, ENFAMIL NEXT STEP, powder,  soy formula, not reconstituted"
4044,400,"Oil, soybean, salad or cooking"
5323,500,"Chicken patty, frozen, uncooked"
5327,500,"Chicken breast tenders, uncooked"
6016,600,"Soup, cream of chicken, canned, condensed"
6019,600,"Soup, chicken noodle, canned, condensed"
6043,600,"Soup, cream of mushroom, canned, condensed"
6065,600,"Soup, turkey noodle, canned, condensed"
6071,600,"Soup, vegetable beef, canned, condensed"
6075,600,"Soup, beef broth or bouillon, powder, dry"
6118,600,"Gravy, brown, dry"
6119,600,"Gravy, chicken, canned, ready-to-serve"
6121,600,"Gravy, mushroom, canned"
6122,600,"Gravy, mushroom, dry, powder"
6125,600,"Gravy, turkey, canned, ready-to-serve"
6175,600,"Sauce, hoisin, ready-to-serve"
6183,600,"Soup, chicken broth, canned, less/reduced sodium"
6194,600,"Soup, Chicken Broth, canned, ready-to-serve"
6419,600,"Soup, chicken noodle, canned, prepared with equal volume water"
6468,600,"Soup, vegetarian vegetable, canned, prepared with equal volume water"
6971,600,"Sauce, worcestershire"
6982,600,"Soup, ramen noodle, beef flavor, dry"
6983,600,"Soup, ramen noodle, chicken flavor, dry"
7022,700,"Frankfurter, beef"
7023,700,"Frankfurter, beef and pork"
7029,700,"Ham, sliced, regular (approximately 11% fat)"
7075,700,"Sausage, smoked link sausage, pork and beef"
7083,700,"Sausage, Vienna, canned, chicken, beef, pork"
7905,700,"Frankfurter, beef, pork, and turkey, fat free"
7956,700,"Beef sausage, fresh, cooked"
8001,800,"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Original"
8013,800,"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS"
8020,800,"Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn Flakes"
8060,800,"Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN"
8065,800,"Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES"
8067,800,"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K"
8090,800,"Cereals, corn grits, white, regular and quick, enriched, dry"
8102,800,"Cereals, CREAM OF WHEAT, regular, dry"
8234,800,"Cereals, QUAKER, oatmeal, instant, low sodium, prepared with water"
8385,800,"Cereals ready-to-eat, KELLOGG'S, SMART START Soy Protein"
8390,800,"Cereals ready-to-eat, KASHI Good Friends by Kellogg"
8393,800,"Cereals ready-to-eat, KASHI GOLEAN by Kellogg"
9003,900,"Apples, raw, with skin"
9004,900,"Apples, raw, without skin"
9005,900,"Apples, raw, without skin, cooked, boiled"
9016,900,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid"
9021,900,"Apricots, raw"
9024,900,"Apricots, canned, juice pack, with skin, solids and liquids"
9032,900,"Apricots, dried, sulfured, uncooked"
9037,900,"Avocados, raw, all commercial varieties"
9040,900,"Bananas, raw"
9042,900,"Blackberries, raw"
9050,900,"Blueberries, raw"
9070,900,"Cherries, sweet, raw"
9078,900,"Cranberries, raw"
9083,900,"Currants, european black, raw"
9087,900,"Dates, deglet noor"
9089,900,"Figs, raw"
9094,900,"Figs, dried, uncooked"
9099,900,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids"
9107,900,"Gooseberries, raw"
9112,900,"Grapefruit, raw, pink and red, all areas"
9116,900,"Grapefruit, raw, white, all areas"
9120,900,"Grapefruit, sections, canned, juice pack, solids and liquids"
9123,900,"Grapefruit juice, white, canned, unsweetened"
9148,900,"Kiwi fruit, (chinese gooseberries), fresh, raw"
9152,900,"Lemon juice, raw"
9176,900,"Mangos, raw"
9181,900,"Melons, cantaloupe, raw"
9184,900,"Melons, honeydew, raw"
9191,900,"Nectarines, raw"
9194,900,"Olives, ripe, canned (jumbo-super colossal)"
9200,900,"Oranges, raw, all commercial varieties"
9202,900,"Oranges, raw, navels"
9209,900,"Orange juice, chilled, includes from concentrate"
9218,900,"Tangerines, (mandarin oranges), raw"
9219,900,"Tangerines, (mandarin oranges), canned, juice pack"
9226,900,"Papayas, raw"
9231,900,"Passion-fruit, (granadilla), purple, raw"
9236,900,"Peaches, raw"
9240,900,"Peaches, canned, light syrup pack, solids and liquids"
