FdGrp_CD,FdGrp_Desc
100,Dairy and Egg Products
200,Spices and Herbs
300,Baby Foods
900,Fruits and Fruit Juices
1100,Vegetables and Vegetable Products
1200,Nut and Seed Products
1400,Beverages
1600,Legumes and Legume Products
1900,Sweets
2000,Cereal Grains and Pasta
2500,Snacks
3500,American Indian/Alaska Native Foods
