NDB No,FdGrp_Cd,Long_Desc,SciName
1102,100,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",
2003,200,"Spices, basil, dried",Ocimum basilicum
2009,200,"Spices, chili powder",
2010,200,"Spices, cinnamon, ground",Cinnamomum aromaticum
2011,200,"Spices, cloves, ground",Syzygium aromaticum
2015,200,"Spices, curry powder",
2020,200,"Spices, garlic powder",Allium sativum
2021,200,"Spices, ginger, ground",Zingiber officinale
2024,200,"Spices, mustard seed, ground",Sinapis alba and Brassica juncea
2026,200,"Spices, onion powder",Allium cepa
2027,200,"Spices, oregano, dried",Origanum vulgare
2028,200,"Spices, paprika",Capsicum annuum
2029,200,"Spices, parsley, dried",Petroselinum crispum
2030,200,"Spices, pepper, black",Piper nigrum
2033,200,"Spices, poppy seed",Papaver somniferum
2043,200,"Spices, turmeric, ground",Curcuma longa L.
3091,300,"Babyfood, vegetables, green beans, strained",
3104,300,"Babyfood, vegetables, squash, strained",
3116,300,"Babyfood, fruit, applesauce, strained",
3121,300,"Babyfood, vegetables, peas, strained",
3130,300,"Babyfood, fruit, peaches, strained",
3132,300,"Babyfood, fruit, pears, strained",
3165,300,"Babyfood, fruit, apple and blueberry, junior",
3166,300,"Babyfood, juice, apple",
3181,300,"Babyfood, cereal, barley, dry",
3225,300,"Babyfood, dessert, cherry vanilla pudding, junior",
9003,900,"Apples, raw, with skin",Malus domestica
9004,900,"Apples, raw, without skin",Malus domestica
9016,900,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",
9021,900,"Apricots, raw",Prunus armeniaca
9037,900,"Avocados, raw, all commercial varieties",Persea americana
9040,900,"Bananas, raw",Musa acuminata Colla
9042,900,"Blackberries, raw",Rubus spp.
9050,900,"Blueberries, raw",Vaccinium spp.
9052,900,"Blueberries, canned, heavy syrup, solids and liquids",
9054,900,"Blueberries, frozen, unsweetened",
9070,900,"Cherries, sweet, raw",Prunus avium
9078,900,"Cranberries, raw",Vaccinium macrocarpon
9079,900,"Cranberries, dried, sweetened",
9081,900,"Cranberry sauce, canned, sweetened",
9083,900,"Currants, european black, raw",Ribes nigrum
9086,900,"Custard-apple, (bullock's-heart), raw",Annona reticulata
9087,900,"Dates, deglet noor",Phoenix dactylifera
9088,900,"Elderberries, raw",Sambucus spp.
9089,900,"Figs, raw",Ficus carica
9107,900,"Gooseberries, raw",Ribes spp.
9112,900,"Grapefruit, raw, pink and red, all areas",Citrus paradisi
9124,900,"Grapefruit juice, white, canned, sweetened",
9135,900,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",
9148,900,"Kiwifruit, green, raw",Actinidia deliciosa
9159,900,"Limes, raw",Citrus latifolia
9176,900,"Mangos, raw",Mangifera indica
9181,900,"Melons, cantaloupe, raw",Cucumis melo
9184,900,"Melons, honeydew, raw",Cucumis melo
9191,900,"Nectarines, yellow, raw",Prunus persica var. nucipersica
9200,900,"Oranges, raw, all commercial varieties",Citrus sinensis
9202,900,"Oranges, raw, navels",Citrus sinensis
9209,900,"Orange juice, chilled, includes from concentrate",
9218,900,"Tangerines, (mandarin oranges), raw",Citrus reticulata
9236,900,"Peaches, raw",Prunus persica
9241,900,"Peaches, canned, heavy syrup pack, solids and liquids",
9252,900,"Pears, raw",Pyrus communis
9266,900,"Pineapple, raw, all varieties",Ananas comosus
9279,900,"Plums, raw",Prunus spp.
9286,900,"Pomegranates, raw",Punica granatum
9291,900,"Plums, dried (prunes), uncooked",
9296,900,"Quinces, raw",Cydonia oblonga
9298,900,"Raisins, seedless",Vitis vinifera
9302,900,"Raspberries, raw",Rubus spp.
9307,900,"Rhubarb, raw",Rheum rhabarbarum
9316,900,"Strawberries, raw",Fragaria X ananassa
9326,900,"Watermelon, raw",Citrullus lanatus
9370,900,"Peaches, canned, heavy syrup, drained solids",
9413,900,"Pears, raw, red anjou",Pyrus communis
9430,900,"Pineapple, raw, extra sweet variety",Ananas comosus
9442,900,"Pomegranate juice, bottled",
9500,900,"Apples, raw, red delicious, with skin",Malus domestica
9501,900,"Apples, raw, golden delicious, with skin",Malus domestica
9502,900,"Apples, raw, granny smith, with skin",Malus domestica
9503,900,"Apples, raw, gala, with skin",Malus domestica
9504,900,"Apples, raw, fuji, with skin",Malus domestica
9525,900,"Cranberry sauce, whole, canned, OCEAN SPRAY",
9526,900,"Cranberry sauce, jellied, canned, OCEAN SPRAY",
11008,1100,"Artichokes, (globe or french), cooked, boiled, drained, without salt",
11012,1100,"Asparagus, cooked, boiled, drained",
11052,1100,"Beans, snap, green, raw",Phaseolus vulgaris
11080,1100,"Beets, raw",Beta vulgaris
11088,1100,"Broadbeans, immature seeds, raw",Vicia faba
11090,1100,"Broccoli, raw",Brassica oleracea var. italica
11091,1100,"Broccoli, cooked, boiled, drained, without salt",
11096,1100,"Broccoli raab, raw",Brassica ruvo
11097,1100,"Broccoli raab, cooked",
11109,1100,"Cabbage, raw",Brassica oleracea (Capitata Group)
11110,1100,"Cabbage, cooked, boiled, drained, without salt",
11112,1100,"Cabbage, red, raw",Brassica oleracea (Capitata Group)
11113,1100,"Cabbage, red, cooked, boiled, drained, without salt",
