FdGrp_CD,FdGrp_Desc
100,Dairy and Egg Products
200,Spices and Herbs
400,Fats and Oils
600,"Soups, Sauces, and Gravies"
900,Fruits and Fruit Juices
1100,Vegetables and Vegetable Products
1200,Nut and Seed Products
1400,Beverages
1600,Legumes and Legume Products
1800,Baked Products
1900,Sweets
2000,Cereal Grains and Pasta
